time_stamp,x_pos,y_pos,heading,vel_true,delta_cmd,acc_cmd,x_acc,y_acc,z_acc,droll,roll,x2_acc,y2_acc,z2_acc,droll2,roll2
1.70064E+18,-3447245.02,-5747448.691,-2.722120925,0.000161743,-0.009184632,0.063,0.006317071,0.195412457,-9.785513878,0.004211453,-0.017570671,0.04820244,-0.350297153,-9.828471184,0.006714524,0.045902617
1.70064E+18,-3447245.02,-5747448.691,-2.722119017,0.000161743,-0.009796914,0.066,0.010510214,0.183436438,-9.774179459,0.003143545,-0.017601382,0.04399471,-0.344952345,-9.831598282,0.006181427,0.045944307
1.70064E+18,-3447245.026,-5747448.683,-2.722084208,0.000161743,-0.010409209,0.069,0.005716886,0.197808176,-9.790287018,0.003676826,-0.017618975,0.049784787,-0.35651049,-9.83874321,0.006004205,0.046076428
1.70064E+18,-3447245.031,-5747448.675,-2.722086116,0.000161743,-0.011021558,0.072,0.006916391,0.201999336,-9.792076111,0.003675135,-0.017636042,0.054607034,-0.357687712,-9.82749939,0.006003771,0.046089746
1.70064E+18,-3447245.031,-5747448.675,-2.722049876,0.000161743,-0.01163394,0.075,-0.003274975,0.18882814,-9.791481018,0.004476637,-0.017612541,0.050007001,-0.344031572,-9.825611115,0.006091076,0.046204958
1.70064E+18,-3447245.031,-5747448.675,-2.722041293,0.000323486,-0.012246344,0.078,0.006315889,0.194215328,-9.786706924,0.004210566,-0.017607052,0.053188369,-0.342834383,-9.83585453,0.006981,0.046274297
1.70064E+18,-3447245.035,-5747448.668,-2.722047969,0.000161743,-0.013471175,0.081,0.014703635,0.189424768,-9.781337738,0.003141748,-0.01765457,0.050171509,-0.347021937,-9.844971657,0.006716099,0.046405591
1.70064E+18,-3447245.039,-5747448.662,-2.722053214,0,-0.014083547,0.084,-0.001477382,0.187630415,-9.789690971,0.004474322,-0.017621722,0.041204482,-0.344640136,-9.825996399,0.007602789,0.046476018
1.70064E+18,-3447245.039,-5747448.662,-2.722060366,0.000161743,-0.014083547,0.087,0.005118614,0.188226789,-9.778355598,0.004737274,-0.017658398,0.049398407,-0.351145834,-9.83085537,0.00564705,0.046629921
1.70064E+18,-3447245.045,-5747448.655,-2.722062274,0.000323486,-0.014695914,0.09,0.000917593,0.185834602,-9.790883064,0.0044776,-0.017680043,0.049799852,-0.353740156,-9.830394745,0.006713665,0.046661191
1.70064E+18,-3447245.045,-5747448.655,-2.72205083,0.000161743,-0.01592068,0.093,0.016481569,0.162486374,-9.793270111,0.00500515,-0.017674254,0.050992295,-0.347402453,-9.833946228,0.007159373,0.046841394
1.70064E+18,-3447245.049,-5747448.648,-2.722062274,0.000161743,-0.016533068,0.096,0.005120971,0.199603245,-9.785513878,0.004474177,-0.017665749,0.062207177,-0.346265554,-9.82716465,0.007247153,0.046185456
1.70064E+18,-3447245.049,-5747448.648,-2.722153827,0.000161743,-0.017145343,0.099,0.01171571,0.196607277,-9.772986412,0.002869916,-0.017680567,0.056601547,-0.349724591,-9.82988739,0.006003861,0.045800086
1.70064E+18,-3447245.054,-5747448.641,-2.722390815,0.000161743,-0.017757242,0.102,0.003294198,0.135542616,-9.778951645,0.004470054,-0.017681295,0.045395829,-0.348555535,-9.831515312,0.006181751,0.045837231
1.70064E+18,-3447245.054,-5747448.641,-2.722343608,0.003396606,-0.018369135,0.105,0.239317477,0.05172053,-9.74852562,0.009572259,-0.017494721,0.038188279,-0.351830393,-9.835042953,0.005470735,0.045306977
1.70064E+18,-3447245.059,-5747448.634,-2.722341224,0.012454224,-0.031234392,0.108,0.06861946,0.172659874,-9.772986412,0.005013797,-0.017269744,0.293003529,-0.383370042,-9.859999657,0.005921311,0.044839408
1.70064E+18,-3447245.059,-5747448.634,-2.722253486,0.010028076,-0.078518468,0.111,0.097389117,0.213374108,-9.790883064,0.005818479,-0.017115273,0.095281288,-0.429427981,-9.799608231,0.003520693,0.044971164
1.70064E+18,-3447245.065,-5747448.627,-2.722106143,0.012130737,-0.116573728,0.114,-0.053617179,0.143924087,-9.778355598,0.000228667,-0.017208226,0.057842709,-0.32279703,-9.80527401,0.010085152,0.04511711
1.70064E+18,-3447245.065,-5747448.627,-2.722069426,0.00921936,-0.1626396,0.117,-0.060209669,0.182249188,-9.823696136,0.004212963,-0.017286489,0.010837492,-0.354849517,-9.805725098,0.006002197,0.045262255
1.70064E+18,-3447245.072,-5747448.62,-2.722035571,0.007440186,-0.197623711,0.12,0.001501216,0.128953785,-9.762844086,0.006875096,-0.017195774,-0.019618515,-0.349760622,-9.831675529,0.006890597,0.045339428
1.70064E+18,-3447245.081,-5747448.613,-2.721893473,0.008734131,-0.225847088,0.123,0.042876549,0.196604341,-9.758667946,0.00129475,-0.017029256,0.229262561,-0.372553051,-9.819776535,0.009465167,0.045621086
1.70064E+18,-3447245.081,-5747448.613,-2.721866771,0.010513306,-0.258993409,0.126,0.062594533,0.124769084,-9.792673111,0.001550557,-0.01706725,0.097721584,-0.31676659,-9.874322891,0.008309555,0.045660466
1.70064E+18,-3447245.081,-5747448.613,-2.721810027,0.011645508,-0.298912594,0.129,0.043447983,0.18823275,-9.807588577,0.00421102,-0.017120056,0.033206984,-0.348607689,-9.824100494,0.004760066,0.045746323
1.70064E+18,-3447245.081,-5747448.613,-2.721625968,0.01633606,-0.34315276,0.132,0.034493729,0.249298021,-9.804605484,0.005812545,-0.016938636,0.21733731,-0.35506621,-9.776515007,0.007511499,0.045866329
1.70064E+18,-3447245.09,-5747448.606,-2.721620246,0.016983032,-0.407731213,0.135,0.311219722,0.157108307,-9.842786789,0.018611325,-0.016707782,0.059452847,-0.381889582,-9.80591011,0.002982462,0.046018731
1.70064E+18,-3447245.09,-5747448.606,-2.721515818,0.031054688,-0.472319359,0.138,0.276480168,0.203213155,-9.872614861,0.013791391,-0.016463613,0.275535405,-0.358232856,-9.784664154,0.010529621,0.046056196
1.70064E+18,-3447245.097,-5747448.6,-2.721368476,0.034289551,-0.603053229,0.141,0.306373358,0.156532317,-9.95375061,0.020453937,-0.016325332,0.337799132,-0.431342185,-9.7651577,0.004318731,0.046218481
